timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,
2026-04-19T04:31:28,8,pauli_x,1,cobyla,700,300,40,20,32,495.82803410000633,0.5133333333333333,0.5138888888888888,0.027703782631859353,0.4935064935064935,0.5277777777777778,0.5100671140939598,78,78,68,76,
2026-04-19T04:48:19,8,pauli_x,1,adam,700,300,40,20,32,1007.665657000005,0.5033333333333333,0.5032051282051282,0.006401707121899247,0.48322147651006714,0.5,0.49146757679180886,79,77,72,72,
2026-04-19T04:57:49,8,pauli_x,2,cobyla,700,300,40,20,32,565.9272415000014,0.6033333333333334,0.6006944444444444,0.20219898096004285,0.5968992248062015,0.5347222222222222,0.5641025641025641,104,52,67,77,
2026-04-19T17:48:23,8,pauli_x,2,adam,700,300,40,20,32,46230.056506199995,0.5633333333333334,0.562232905982906,0.12456562416466177,0.5460992907801419,0.5347222222222222,0.5403508771929825,92,64,67,77,
2026-04-19T17:59:15,8,pauli_x,3,cobyla,700,300,40,20,32,646.1421690999996,0.4866666666666667,0.4797008547008547,-0.04110329908058419,0.4489795918367347,0.3055555555555556,0.36363636363636365,102,54,100,44,
2026-04-20T08:25:52,8,pauli_x,3,adam,700,300,40,20,32,51992.616690200026,0.5366666666666666,0.545940170940171,0.09007593610892894,0.5114155251141552,0.7777777777777778,0.6170798898071626,49,107,32,112,
2026-04-20T08:34:09,8,pauli_y,1,cobyla,700,300,40,20,32,493.7714515000116,0.5366666666666666,0.5363247863247863,0.07259140645850015,0.5170068027210885,0.5277777777777778,0.5223367697594502,85,71,68,76,
2026-04-20T19:45:16,8,pauli_y,1,adam,700,300,40,20,32,40262.43034329999,0.4666666666666667,0.4671474358974359,-0.06553010122535974,0.44805194805194803,0.4791666666666667,0.46308724832214765,71,85,75,69,
2026-04-20T19:54:46,8,pauli_y,2,cobyla,700,300,40,20,32,566.3358426999766,0.43,0.4356303418803419,-0.1270761929870814,0.43005181347150256,0.5763888888888888,0.49258160237388726,46,110,61,83,
2026-04-21T08:43:58,8,pauli_y,2,adam,700,300,40,20,32,46148.000327899994,0.4866666666666667,0.5032051282051282,0.006195147134744339,0.48175182481751827,0.9166666666666666,0.631578947368421,14,142,12,132,
